category,question,question_text,answers
General Information,Type of Consideration-Answer,What type of consideration is specified in this agreement?,
Conditions to Closing,"Accuracy of Target ""General"" R&W: Bringdown Timing Answer",When are representations and warranties required to be made according to the bring down provision?,
Conditions to Closing,"Accuracy of Target ""General"" R&W: Bringdown Standard Answer",How accurate must the representations and warranties be according to the bring down provision?,
Conditions to Closing,Accuracy of Target Capitalization R&W (outstanding shares): Bringdown Standard Answer,How accurate must the capitalization representations and warranties be according to the bring down provision?,
Conditions to Closing,Accuracy of Fundamental Target R&Ws: Bringdown Standard,How accurate must the fundamental representations and warranties be according to the bring down provision?,
Conditions to Closing,Accuracy of Fundamental Target R&Ws-Types of R&Ws[MULTILABEL],,
Conditions to Closing,Materiality/MAE Scrape applies to[MULTILABEL],,
Compliance with Covenant Closing Condition,Compliance with Target Covenant Closing Condition-Answer,What covenants is the seller required to perform and comply with in all material respects?,
Absence of Litigation Closing Condition,Absence of Litigation Closing Condition: Governmental v. Non-Governmental-Answer,"In the Absence of Litigation clause, the company affirms that there is no litigation from a certain range of parties, wherein an unfavorable decision, ruling or finding would have a Material Adverse Effect on the company’s ability to perform its obligations. What parties does this clause cover?",
Absence of Litigation Closing Condition,Absence of Litigation Closing Condition: Pending v. Threatened v. Threatened in Writing-Answer,"In the Absence of Litigation clause, the company affirms that there is no certain types of litigation, wherein an unfavorable decision, ruling or finding would have a Material Adverse Effect on the company’s ability to perform its obligations. What type(s) of litigation does this clause cover?",
Material Adverse Effect,MAE definition includes adverse impact on Target's ability to consummate,Does the definition of Material Adverse Effect (MAE) include adverse impact on Target’s ability to consummate?,
Material Adverse Effect,"""Ability to consummate"" concept is subject to MAE carveouts",Is the “ability to consummate” concept subject to Material Adverse Effect (MAE) carveouts?,
Material Adverse Effect,"MAE definition includes reference to Target ""prospects"" (Y/N)",Does the definition of Material Adverse Effect (MAE) include reference to Target “prospects”?,
Material Adverse Effect,MAE Forward looking standard (Y/N),"Is the buyer allowed to declare a Material Adverse Effect (MAE) based on reasonably anticipated earnings losses, even when such losses have not yet occurred?",
Material Adverse Effect,FLS (MAE) applies to[MULTILABEL],What does the Forward Looking Standard (FLS) pertaining to Material Adverse Effect (MAE) apply to?,
Material Adverse Effect,FLS (MAE) Standard-Answer,What is the Forward Looking Standard (FLS) with respect to Material Adverse Effect (MAE)?,
Material Adverse Effect,MAE applies to Target and subsidiaries (MAE)-Answer,Does the Material Adverse Effect (MAE) clause apply to subsidiaries of the Target?,"- ANSWER 1: Yes. Target and subsidiaries are ""taken as a whole.""
- ANSWER 2: No"
Material Adverse Effect,General political and/or social conditions (Y/N),Do changes caused by general political and/or social conditions qualify for Material Adverse Effect (MAE)?,
Material Adverse Effect,"General political and/or social conditions:  subject to ""disproportionate impact"" modifier",Do changes caused by general political and/or social conditions that have disproportionate impact qualify for Material Adverse Effect (MAE)?,
Material Adverse Effect,General economic and financial conditions (Y/N),Do changes caused by general economic and financial conditions qualify for Material Adverse Effect (MAE)?,
Material Adverse Effect,"General economic and financial conditions: subject to ""disproportionate impact"" modifier",Do changes caused by general economic and financial conditions that have disproportionate impact qualify for Material Adverse Effect (MAE)?,
Material Adverse Effect,Changes in Target's industry (Y/N),Do changes in Target’s industry qualify for Material Adverse Effect (MAE)?,
