category,question,count,avg_num_words,max_num_words
Conditions to Closing,Accuracy of Fundamental Target R&Ws-Types of R&Ws,2464,137.8465909090909,489
Deal Protection and Related Provisions,Acquisition Proposal Timing-Answer,1800,88.99444444444444,526
Deal Protection and Related Provisions,Limitations on FTR Exercise-Answer,828,219.7246376811594,1129
Conditions to Closing,Materiality/MAE Scrape applies to,672,135.77380952380952,489
Material Adverse Effect,Relational language (MAE carveout)-Answer (Dropdown),637,696.5824175824176,1141
Material Adverse Effect,W/N/A/F applies to-Answer,500,694.86,1141
Material Adverse Effect,"W/N/A/F subject to ""disproportionate impact""-Answer",480,695.96875,1141
Material Adverse Effect,A/P/C application to-Answer,396,697.4949494949495,1141
Deal Protection and Related Provisions,Acquisition Proposal required to be publicly disclosed-Answer,368,91.68478260869566,526
Material Adverse Effect,FLS (MAE) applies to,234,696.525641025641,1057
Conditions to Closing,"Accuracy of Target ""General"" R&W: Bringdown Standard Answer",182,137.34065934065933,489
Conditions to Closing,"Accuracy of Target ""General"" R&W: Bringdown Timing Answer",182,137.34065934065933,489
Conditions to Closing,Accuracy of Target Capitalization R&W (outstanding shares): Bringdown Standard Answer,182,137.34065934065933,489
Operating and Efforts Covenant,Buyer consent requirement (ordinary course)-Answer,182,118.78021978021978,413
Operating and Efforts Covenant,"Includes ""consistent with past practice""",182,118.78021978021978,413
Operating and Efforts Covenant,Ordinary course efforts standard-Answer,182,118.78021978021978,413
Operating and Efforts Covenant,Application of Buyer consent requirement (negative interim covenant)-Answer,181,83.24309392265194,320
Operating and Efforts Covenant,Buyer consent requirement (negative interim covenant)-Answer,181,83.24309392265194,320
Remedies,Specific Performance-Answer,181,92.58011049723757,291
Deal Protection and Related Provisions,Fiduciary exception:  Board determination standard-Answer (no-shop),180,241.06666666666666,542
Deal Protection and Related Provisions,Fiduciary exception: Board determination trigger (no shop)-Answer,180,241.06666666666666,542
Deal Protection and Related Provisions,Tail Period Length-Answer,180,88.99444444444444,526
Conditions to Closing,Accuracy of Fundamental Target R&Ws: Bringdown Standard,176,137.8465909090909,489
General Information,Type of Consideration-Answer,173,122.8092485549133,695
Conditions to Closing,Compliance with Target Covenant Closing Condition-Answer,170,151.45294117647057,554
Knowledge,Knowledge Definition-Answer,168,328.05357142857144,1104
Deal Protection and Related Provisions,Additional matching rights period for modifications (COR)-Answer,159,306.39622641509436,1038
Deal Protection and Related Provisions,Initial matching rights period (COR)-Answer,159,306.39622641509436,1038
Deal Protection and Related Provisions,Number of additional matching rights periods for modifications (COR),159,306.39622641509436,1038
